1	1	4.871
1	2	6.269
1	3	4.493
1	4	4.624
1	5	6.844
1	6	5.355
1	7	14.942
2	1	9.9
2	2	12.565
2	3	16.065
2	4	22.152
2	5	19.2
2	6	19.357
2	7	24.66
2	8	17.659
2	9	19.722
2	10	24.581
2	11	16.64
2	12	13.401
2	13	37.642
2	14	31.948
2	15	13.558
2	16	22.518
2	17	30.198
2	18	12.408
2	19	39.68
2	20	49.868
2	21	21.734
2	22	44.669
2	23	52.114
2	24	24.189
2	25	66.194
2	26	73.091
2	27	39.628
2	28	29.048
2	29	33.332
2	30	55.641
2	31	41.535
2	32	23.327
2	33	50.991
2	34	26.384
2	35	41.3
2	36	38.635
2	37	25.339
2	38	30.041
2	39	24.372
2	40	29.048
2	41	37.46
2	42	15.961
2	43	13.453
2	44	25.495
2	45	19.958
2	46	19.827
2	47	25.104
2	48	32.784
2	49	39.811
2	50	25.208
2	51	24.006
2	52	16.875
2	53	14.733
2	54	53.812
2	55	25.678
2	56	14.838
2	57	40.255
2	58	36.415
2	59	28.186
2	60	42.815
2	61	119.745
2	62	53.029
2	63	28.238
2	64	26.305
2	65	20.114
2	66	18.573
2	67	37.329
2	68	34.952
2	69	32.993
2	70	39.079
2	71	40.829
2	72	20.898
2	73	24.033
2	74	62.589
2	75	30.041
2	76	63.478
2	77	15.935
2	78	22.936
2	79	45.296
2	80	35.239
2	81	28.395
2	82	21.551
2	83	54.491
2	84	25.365
2	85	93.623
2	86	22.857
2	87	51.67
2	88	17.998
2	89	43.964
2	90	46.263
2	91	48.222
2	92	21.603
2	93	52.114
2	94	25.913
2	95	20.715
2	96	42.475
2	97	32.052
2	98	26.279
2	99	20.245
2	100	21.603
2	101	48.875
2	102	134.478
2	103	22.335
2	104	25.913
2	105	39.941
2	106	29.283
2	107	27.925
2	108	27.559
2	109	60.395
2	110	36.754
2	111	32.026
2	112	27.533
2	113	55.275
2	114	49.659
2	115	24.978
2	116	25.004
2	117	21.713
2	118	45.328
2	119	21.452
2	120	51.78
2	121	32.423
2	122	25.814
2	123	29.315
2	124	39.528
2	125	48.933
2	126	54.784
2	127	27.382
2	128	34.905
2	129	33.886
2	130	34.173
2	131	15.783
2	132	44.126
2	133	55.019
2	134	28.426
2	135	26.938
2	136	73.226
2	137	39.006
2	138	18.578
2	139	31.979
2	140	57.266
2	141	23.176
2	142	38.431
2	143	85.791
2	144	64.267
2	145	47.835
2	146	23.829
2	147	11.29
2	148	31.222
2	149	24.142
2	150	55.724
2	151	40.338
2	152	12.831
2	153	21.504
2	154	23.881
2	155	27.904
2	156	24.142
2	157	20.668
2	158	40.051
2	159	40.051
2	160	22.915
2	161	24.508
2	162	17.586
2	163	16.776
2	164	97.494
2	165	56.377
2	166	19.257
2	167	42.141
2	168	32.11
2	169	22.131
2	170	43.917
2	171	32.449
2	172	27.512
2	173	45.145
2	174	64.919
2	175	24.325
2	176	25.396
2	177	135.006
2	178	73.331
2	179	16.933
2	180	30.777
2	181	27.826
2	182	28.218
2	183	25.997
2	184	65.886
2	185	77.458
2	186	34.095
2	187	124.505
2	188	33.494
2	189	48.567
2	190	27.8
2	191	55.28
2	192	10.95
2	193	28.531
2	194	42.115
2	195	26.99
2	196	128.136
2	197	57.344
2	198	67.244
2	199	24.43
2	200	43.316
2	201	27.591
2	202	17.586
2	203	47.94
2	204	26.075
2	205	24.169
2	206	22.836
2	207	23.411
2	208	35.741
2	209	25.083
2	210	36.159
2	211	35.244
2	212	31.509
2	213	86.183
2	214	54.079
2	215	43.029
2	216	41.775
2	217	104.234
2	218	30.333
2	219	56.56
2	220	55.489
2	221	89.475
2	222	54.601
2	223	38.536
2	224	29.21
2	225	30.83
2	226	26.937
2	227	11.943
2	228	86.366
2	229	103.659
2	230	62.621
2	231	96.658
2	232	80.227
2	233	139.447
2	234	56.325
2	235	100.446
2	236	49.951
2	237	76.884
2	238	17.821
2	239	30.777
2	240	57.057
2	241	16.332
2	242	17.324
2	243	45.302
2	244	17.481
2	245	32.475
2	246	104.495
2	247	78.347
2	248	63.195
2	249	141.066
2	250	32.371
2	251	54.889
2	252	20.694
2	253	102.353
2	254	27.956
2	255	60.479
2	256	30.412
2	257	37.621
2	258	52.668
2	259	87.62
2	260	56.43
2	261	38.745
2	262	42.95
2	263	23.228
2	264	87.62
2	265	53.217
2	266	71.215
2	267	59.46
2	268	30.699
2	269	30.151
2	270	32.737
2	271	38.092
2	272	53.53
2	273	67.349
2	274	33.468
2	275	83.493
2	276	21.635
2	277	34.226
2	278	23.437
2	279	31.091
2	280	30.307
2	281	26.311
2	282	259.715
2	283	63.091
2	284	51.519
2	285	53.896
2	286	88.56
3	1	10.397
3	2	14.237
3	3	21.42
3	4	37.956
3	5	15.987
3	6	25.156
3	7	96.026
3	8	25.104
3	9	25.078
3	10	33.463
3	11	29.074
3	12	17.894
3	13	55.275
3	14	46.681
3	15	58.436
3	16	24.816
3	17	19.435
3	18	33.228
3	19	45.923
3	20	56.738
3	21	50.678
3	22	22.674
3	23	19.957
3	24	23.536
3	25	14.472
3	26	41.613
3	27	25.495
3	28	38.034
3	29	25.287
3	30	41.404
3	31	22.883
3	32	17.711
3	33	19.618
3	34	14.498
3	35	25.94
3	36	44.931
3	37	58.018
3	38	23.928
3	39	43.494
3	40	28.5
3	41	37.12
3	42	25.025
3	43	14.341
3	44	36.571
3	45	42.24
3	46	14.968
3	47	41.195
3	48	14.002
3	49	85.629
3	50	37.094
3	51	19.722
3	52	41.326
3	53	22.805
3	54	15.073
3	55	64.366
3	56	24.294
3	57	24.268
3	58	12.539
3	59	23.667
3	60	14.655
3	61	69.982
3	62	27.925
3	63	15.02
3	64	67.553
3	65	33.672
3	66	41.848
3	67	25.94
3	68	28.029
3	69	27.611
3	70	19.513
3	71	21.264
3	72	32.496
3	73	55.641
3	74	17.293
3	75	62.772
3	76	17.241
3	77	52.088
3	78	54.073
3	79	52.558
3	80	32.209
3	81	70.635
3	82	15.099
3	83	25.783
3	84	67.474
3	85	22.256
3	86	38.74
3	87	22.518
3	88	17.162
3	89	18.965
3	90	30.955
3	91	40.542
3	92	30.276
3	93	48.771
3	94	18.73
3	95	24.764
3	96	20.689
3	97	50.338
3	98	22.518
3	99	38.975
3	100	22.779
3	101	27.507
3	102	21.081
3	103	62.825
3	104	28.813
3	105	27.585
3	106	34.247
3	107	18.521
3	108	20.506
3	109	17.319
3	110	42.893
3	111	24.189
3	112	61.362
3	113	34.142
3	114	32.47
3	115	21.264
3	116	34.22
3	117	41.143
3	118	64.418
3	119	68.049
3	120	41.3
3	121	21.107
3	122	27.115
3	123	23.223
3	124	26.096
3	125	34.717
3	126	29.518
3	127	19.174
3	128	18.651
3	129	31.295
3	130	26.723
3	131	12.121
3	132	12.147
3	133	27.037
3	134	32.758
3	135	48.771
3	136	35.004
3	137	22.413
3	138	15.308
3	139	20.193
3	140	46.211
3	141	14.602
3	142	23.249
3	143	26.358
3	144	48.509
3	145	46.263
3	146	41.718
3	147	35.318
3	148	23.824
3	149	28.526
3	150	12.696
3	151	37.381
3	152	80.039
3	153	56.006
3	154	143.83
3	155	39.523
3	156	76.957
3	157	25.287
3	158	13.349
3	159	55.04
3	160	34.09
3	161	33.28
3	162	26.384
3	163	20.741
3	164	56.921
3	165	40.803
3	166	20.715
3	167	65.62
3	168	31.112
3	169	26.279
3	170	35.892
3	171	23.798
3	172	23.275
3	173	25.13
3	174	26.619
3	175	23.902
3	176	36.598
3	177	18.939
3	178	36.258
3	179	61.544
3	180	55.51
3	181	39.706
3	182	19.435
3	183	56.242
3	184	23.641
3	185	46.655
3	186	47.83
3	187	50.312
3	188	45.949
3	189	18.364
3	190	22.909
3	191	53.133
3	192	24.712
3	193	48.039
3	194	26.044
3	195	96.183
3	196	13.453
3	197	18.86
3	198	39.471
3	199	56.581
3	200	21.029
4	1	66.377
4	2	37.93
4	3	51.827
4	4	30.929
4	5	31.713
4	6	86.309
4	7	40.02
4	8	24.895
4	9	31.269
4	10	28.186
4	11	144.744
4	12	157.179
4	13	39.471
4	14	26.41
4	15	48.666
4	16	34.717
4	17	42.162
4	18	46.028
