1	1	4	12
1	2	4	15
1	3	2	8
1	4	3	8
1	5	4	16
1	6	3	13
1	7	9	34
2	1	3	6
2	2	7	21
2	3	8	36
2	4	12	44
2	5	8	26
2	6	11	40
2	7	12	43
2	8	11	36
2	9	10	36
2	10	12	37
2	11	11	31
2	12	7	23
2	13	19	55
2	14	16	51
2	15	7	30
2	16	11	39
2	17	17	57
2	18	6	16
2	19	19	66
2	20	25	81
2	21	11	40
2	22	23	77
2	23	20	59
2	24	13	44
2	25	34	107
2	26	39	113
2	27	20	64
2	28	13	51
2	29	19	51
2	30	28	89
2	31	15	56
2	32	12	35
2	33	22	83
2	34	13	48
2	35	18	61
2	36	19	67
2	37	11	33
2	38	17	52
2	39	10	33
2	40	13	51
2	41	18	56
2	42	8	32
2	43	7	23
2	44	10	45
2	45	8	31
2	46	8	31
2	47	11	43
2	48	19	53
2	49	18	69
2	50	10	45
2	51	12	44
2	52	8	27
2	53	7	29
2	54	26	98
2	55	14	48
2	56	7	27
2	57	18	70
2	58	20	72
2	59	18	54
2	60	28	91
2	61	59	197
2	62	24	81
2	63	15	53
2	64	13	46
2	65	12	40
2	66	9	36
2	67	20	63
2	68	23	59
2	69	18	52
2	70	17	45
2	71	24	71
2	72	10	35
2	73	11	44
2	74	37	117
2	75	19	64
2	76	23	76
2	77	9	28
2	78	11	35
2	79	24	81
2	80	23	67
2	81	13	42
2	82	10	35
2	83	29	104
2	84	15	60
2	85	49	187
2	86	13	47
2	87	28	109
2	88	10	34
2	89	26	79
2	90	27	85
2	91	30	95
2	92	11	41
2	93	27	102
2	94	17	51
2	95	9	34
2	96	25	85
2	97	18	61
2	98	12	45
2	99	10	35
2	100	10	36
2	101	22	68
2	102	74	240
2	103	12	38
2	104	12	41
2	105	25	77
2	106	19	52
2	107	17	44
2	108	18	56
2	109	33	95
2	110	17	53
2	111	18	55
2	112	17	54
2	113	31	104
2	114	30	85
2	115	12	41
2	116	14	38
2	117	11	35
2	118	24	81
2	119	10	34
2	120	31	86
2	121	15	58
2	122	11	43
2	123	18	51
2	124	19	61
2	125	22	82
2	126	30	97
2	127	14	51
2	128	17	62
2	129	16	66
2	130	18	58
2	131	9	28
2	132	16	50
2	133	27	93
2	134	15	42
2	135	15	43
2	136	31	101
2	137	19	61
2	138	10	31
2	139	14	51
2	140	30	99
2	141	15	42
2	142	21	66
2	143	45	146
2	144	34	116
2	145	32	105
2	146	14	60
2	147	7	22
2	148	19	55
2	149	17	56
2	150	31	117
2	151	17	69
2	152	6	23
2	153	10	32
2	154	13	37
2	155	12	52
2	156	10	33
2	157	9	36
2	158	24	72
2	159	20	68
2	160	11	38
2	161	13	47
2	162	9	28
2	163	9	27
2	164	43	136
2	165	31	92
2	166	12	42
2	167	23	74
2	168	16	47
2	169	11	35
2	170	22	66
2	171	18	52
2	172	14	46
2	173	25	75
2	174	29	92
2	175	11	43
2	176	14	42
2	177	51	188
2	178	37	129
2	179	8	29
2	180	16	64
2	181	13	44
2	182	16	45
2	183	14	47
2	184	32	101
2	185	44	147
2	186	17	57
2	187	65	222
2	188	17	65
2	189	27	89
2	190	13	40
2	191	25	104
2	192	6	18
2	193	15	46
2	194	22	77
2	195	14	47
2	196	73	233
2	197	29	90
2	198	26	85
2	199	12	33
2	200	24	73
2	201	14	42
2	202	8	25
2	203	25	80
2	204	17	49
2	205	14	44
2	206	12	43
2	207	11	35
2	208	15	46
2	209	12	37
2	210	17	56
2	211	20	60
2	212	20	70
2	213	49	157
2	214	30	95
2	215	22	78
2	216	25	77
2	217	57	195
2	218	16	48
2	219	26	99
2	220	26	93
2	221	39	150
2	222	27	93
2	223	16	62
2	224	14	47
2	225	14	50
2	226	13	43
2	227	7	20
2	228	40	146
2	229	46	144
2	230	30	93
2	231	45	160
2	232	33	124
2	233	64	228
2	234	25	103
2	235	47	152
2	236	25	87
2	237	35	117
2	238	8	27
2	239	15	48
2	240	27	93
2	241	6	26
2	242	7	27
2	243	28	79
2	244	9	24
2	245	16	55
2	246	54	161
2	247	43	132
2	248	30	96
2	249	60	185
2	250	15	56
2	251	27	94
2	252	9	33
2	253	52	163
2	254	21	63
2	255	50	144
2	256	24	73
2	257	24	77
2	258	43	122
2	259	67	198
2	260	39	121
2	261	24	78
2	262	24	74
2	263	11	37
2	264	38	129
2	265	27	99
2	266	35	121
2	267	29	92
2	268	13	55
2	269	16	50
2	270	15	45
2	271	20	68
2	272	28	92
2	273	30	98
2	274	17	66
2	275	45	137
2	276	11	31
2	277	19	64
2	278	13	34
2	279	17	58
2	280	14	46
2	281	15	41
2	282	128	431
2	283	32	112
2	284	28	79
2	285	27	97
2	286	49	146
3	1	3	6
3	2	7	17
3	3	11	43
3	4	18	53
3	5	11	25
3	6	13	38
3	7	46	152
3	8	15	45
3	9	13	34
3	10	16	48
3	11	14	53
3	12	9	34
3	13	29	94
3	14	24	93
3	15	24	86
3	16	11	35
3	17	6	38
3	18	18	54
3	19	26	77
3	20	26	95
3	21	18	67
3	22	11	36
3	23	20	63
3	24	15	45
3	25	15	46
3	26	25	77
3	27	21	64
3	28	27	88
3	29	22	57
3	30	26	81
3	31	14	49
3	32	11	32
