T10	2714
T10	1186
T10	2821
T10	2251
T10	2135
T10	5094
T10	4957
T10	5509
T10	5642
T10	2188
T100	2714
T100	1186
T100	2821
T100	2251
T100	2135
T100	5094
T100	4957
T100	5509
T100	5642
T100	2188
T100	252
T100	294
T100	295
T100	932
T100	933
T100	966
T100	1023
T100	1130
T100	1415
T100	1423
T100	1455
T100	1514
T100	1541
T100	1607
T100	1686
T100	2141
T100	2178
T100	2893
T100	3195
T100	3218
T100	3378
T100	3463
T100	3543
T100	3599
T100	3600
T100	3706
T100	3707
T100	3757
T100	3976
T100	4262
T100	4274
T100	4772
T100	4835
T100	4862
T100	5272
T100	5351
T100	5578
T100	5595
T100	5606
T100	5607
T100	5862
T100	5989
T100	5997
T100	2995
T100	6217
T100	4347
T100	2230
T100	1912
T100	2881
T100	4354
T100	3789
T100	6032
T100	2341
T100	4983
T100	4748
T100	9
T100	1783
T100	1408
T100	2562
T100	3181
T100	4114
T100	1977
T100	697
T100	5496
T100	5934
T100	5812
T100	1260
T100	2969
T100	3085
T100	3117
T100	611
T100	4852
T100	3781
T100	202
T100	2687
T100	1114
T100	3588
T100	6195
T100	4812
T100	4063
T100	5958
T100	4918
T100	5337
T100	2322
T100	5324
T100	2037
T100	1972
T100	1531
T100	1643
T100	3154
T300	2714
T300	1186
T300	2821
T300	2251
T300	2135
T300	5094
T300	4957
T300	5509
T300	5642
T300	2188
T300	252
T300	294
T300	295
T300	932
T300	933
T300	966
T300	1023
T300	1130
T300	1415
T300	1423
T300	1455
T300	1514
T300	1541
T300	1607
T300	1686
T300	2141
T300	2178
T300	2893
T300	3195
T300	3218
T300	3378
T300	3463
T300	3543
T300	3599
T300	3600
T300	3706
T300	3707
T300	3757
T300	3976
T300	4262
T300	4274
T300	4772
T300	4835
T300	4862
T300	5272
T300	5351
T300	5578
T300	5595
T300	5606
T300	5607
T300	5862
T300	5989
T300	5997
T300	2995
T300	6217
T300	4347
T300	2230
T300	1912
T300	2881
T300	4354
T300	3789
T300	6032
T300	2341
T300	4983
T300	4748
T300	9
T300	1783
T300	1408
T300	2562
T300	3181
T300	4114
T300	1977
T300	697
T300	5496
T300	5934
T300	5812
T300	1260
T300	2969
T300	3085
T300	3117
T300	611
T300	4852
T300	3781
T300	202
T300	2687
T300	1114
T300	3588
T300	6195
T300	4812
T300	4063
T300	5958
T300	4918
T300	5337
T300	2322
T300	5324
T300	2037
T300	1972
T300	1531
T300	1643
T300	3154
T300	4014
T300	1811
T300	4012
T300	5177
T300	3183
T300	1945
T300	1782
T300	4547
T300	5791
T300	3273
T300	2053
T300	2310
T300	6033
T300	6015
T300	2342
T300	2766
T300	2770
T300	2791
T300	1676
T300	1084
T300	2173
T300	2882
T300	1680
T300	695
T300	1343
T300	5499
T300	5772
T300	1126
T300	4804
T300	4985
T300	5685
T300	5925
T300	5931
T300	4932
T300	6199
T300	1577
T300	5526
T300	434
T300	1862
T300	3552
T300	825
T300	1429
T300	6008
T300	2218
T300	3366
T300	809
T300	1580
T300	5215
T300	621
T300	2822
T300	1735
T300	1049
T300	5222
T300	4285
T300	5104
T300	955
T300	5205
T300	4028
T300	869
T300	4333
T300	359
T300	762
T300	1890
T300	3719
T300	4988
T300	998
T300	758
T300	8
T300	2933
T300	5123
T300	2817
T300	1647
T300	1246
T300	2056
T300	415
T300	3971
T300	557
T300	6197
T300	6014
T300	776
T300	1503
T300	2159
T300	2294
T300	4364
T300	6194
T300	936
T300	2111
T300	3697
T300	6031
T300	6196
T300	204
T300	5855
T300	651
T300	2702
T300	4406
T300	2317
T300	2333
T300	4529
T300	4889
T300	350
T300	963
T300	1308
T300	525
T300	2259
T300	4342
T300	2292
T300	1048
T300	1792
T300	2456
T300	1913
T300	588
T300	286
T300	4358
T300	5423
T300	1759
T300	5768
T300	229
T300	710
T300	5058
T300	5948
T300	3487
T300	4915
T300	5834
T300	5486
T300	5564
T300	6132
T300	1958
T300	4091
T300	1719
T300	1925
T300	4477
T300	678
T300	2267
T300	2799
T300	5135
T300	162
T300	1933
T300	2354
T300	914
T300	1682
T300	1776
T300	4301
T300	2222
T300	3340
T300	219
T300	474
T300	720
T300	1102
T300	125
T300	1493
T300	742
T300	447
T300	4612
T300	2109
T300	354
T300	1504
T300	2626
T300	711
T300	1202
T300	4011
T300	1772
T300	2049
T300	3992
T300	2621
T300	1210
T300	5134
T300	205
T300	1724
T300	467
T300	5130
T300	3989
T300	184
T300	313
T300	4013
T300	3978
T300	3987
T300	1399
T300	3616
T300	3973
T300	883
T300	1858
T300	3253
T300	3341
T300	3410
T300	3470
T300	3504
T300	3953
T300	4090
T300	5762
T300	3408
T300	1271
T300	5020
T300	5030
T300	5043
T300	5478
T300	5851
T300	1234
T300	5262
T300	3018
T300	4975
